logline,is_anomaly,_id,timestamp,group_id,processing_time_seconds,analysis_date,file_processed
Created MRAppMaster for application appattempt_1445144423722_0020_000001,0.0,0,2015-10-18 18:01:47.978,0,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Executing with tokens:,0.0,1,2015-10-18 18:01:48.963,1,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",0.0,2,2015-10-18 18:01:48.963,2,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Using mapred newApiCommitter.,0.0,3,2015-10-18 18:01:49.228,3,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
OutputCommitter set in config null,0.0,4,2015-10-18 18:01:50.353,4,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,0.0,5,2015-10-18 18:01:50.509,5,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,0.0,6,2015-10-18 18:01:50.556,6,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,0.0,7,2015-10-18 18:01:50.556,7,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,0.0,8,2015-10-18 18:01:50.556,8,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,0.0,9,2015-10-18 18:01:50.556,9,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,0.0,10,2015-10-18 18:01:50.572,10,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,0.0,11,2015-10-18 18:01:50.572,11,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,0.0,12,2015-10-18 18:01:50.572,12,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,0.0,13,2015-10-18 18:01:50.588,13,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Default file system [hdfs://msra-sa-41:9000],1.0,14,2015-10-18 18:01:50.634,14,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Default file system [hdfs://msra-sa-41:9000],1.0,15,2015-10-18 18:01:50.666,15,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Default file system [hdfs://msra-sa-41:9000],1.0,16,2015-10-18 18:01:50.713,16,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Emitting job history data to the timeline server is not enabled,0.0,17,2015-10-18 18:01:50.728,17,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,0.0,18,2015-10-18 18:01:50.806,18,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
loaded properties from hadoop-metrics2.properties,0.0,19,2015-10-18 18:01:51.197,19,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Scheduled snapshot period at 10 second(s).,0.0,20,2015-10-18 18:01:51.306,20,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
MRAppMaster metrics system started,0.0,21,2015-10-18 18:01:51.306,21,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Adding job token for job_1445144423722_0020 to jobTokenSecretManager,0.0,22,2015-10-18 18:01:51.322,22,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,0.0,23,2015-10-18 18:01:51.619,23,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,0.0,24,2015-10-18 18:01:51.650,24,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Number of reduces for job job_1445144423722_0020 = 1,0.0,25,2015-10-18 18:01:51.650,25,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
job_1445144423722_0020Job Transitioned from NEW to INITED,0.0,26,2015-10-18 18:01:51.650,26,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",0.0,27,2015-10-18 18:01:51.650,27,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Using callQueue class java.util.concurrent.LinkedBlockingQueue,0.0,28,2015-10-18 18:01:51.713,28,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
Starting Socket Reader #1 for port 62260,0.0,29,2015-10-18 18:01:51.775,29,2.015634298324585,2025-07-08T11:40:23.398354,Hadoop_2k.log_structured_small.csv
